Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-09,18:00:00,2401.54,2401.96,2399.05,2401.39,0,0
2017-05-09,19:00:00,2401.42,2401.77,2398.25,2398.45,0,0
2017-05-09,20:00:00,2398.44,2399.46,2396.09,2398.74,0,0
2017-05-09,21:00:00,2398.77,2399.06,2396.99,2398.04,0,0
2017-05-09,22:00:00,2397.98,2399.16,2392.6,2396.92,0,0
2017-05-10,16:00:00,2395.96,2395.96,2393.28,2395.56,0,0
2017-05-10,17:00:00,2395.26,2396.38,2392.79,2395.11,0,0
2017-05-10,18:00:00,2395,2398.71,2394.81,2397.75,0,0
2017-05-10,19:00:00,2397.74,2398.64,2397.39,2398.61,0,0
2017-05-10,20:00:00,2398.65,2399.64,2397.75,2398.47,0,0
2017-05-10,21:00:00,2398.36,2399.07,2396.7,2398.57,0,0
2017-05-10,22:00:00,2398.68,2399.68,2396.81,2399.63,0,0
2017-05-11,16:00:00,2394.45,2394.71,2383.78,2385.8,0,0
2017-05-11,17:00:00,2385.81,2387.05,2381.86,2385.92,0,0
2017-05-11,18:00:00,2386.01,2388.66,2385.95,2387.04,0,0
2017-05-11,19:00:00,2387.22,2391.39,2387,2389.85,0,0
2017-05-11,20:00:00,2389.86,2393.26,2389.6,2393.26,0,0
2017-05-11,21:00:00,2393.37,2395.72,2391.43,2392.89,0,0
2017-05-11,22:00:00,2393.07,2395.15,2392.58,2394.44,0,0
2017-05-12,16:00:00,2391.88,2392.31,2389.5,2390.52,0,0
2017-05-12,17:00:00,2390.56,2391.17,2387.22,2388.21,0,0
2017-05-12,18:00:00,2388.13,2392.06,2387.78,2390.71,0,0
2017-05-12,19:00:00,2390.7,2390.73,2388.9,2389.32,0,0
2017-05-12,20:00:00,2389.34,2390.17,2388.34,2390.06,0,0
2017-05-12,21:00:00,2390.08,2390.87,2388.75,2389.92,0,0
2017-05-12,22:00:00,2389.93,2390.9,2387.73,2390.9,0,0
2017-05-15,16:00:00,2394.04,2400.54,2394.04,2400.39,0,0
2017-05-15,17:00:00,2400.42,2403.68,2400.4,2403.04,0,0
2017-05-15,18:00:00,2403.16,2404.04,2401.04,2401.81,0,0
2017-05-15,19:00:00,2401.78,2402.22,2400.83,2401.15,0,0
2017-05-15,20:00:00,2401.11,2403.17,2400.67,2402.7,0,0
2017-05-15,21:00:00,2402.63,2402.68,2399.29,2399.82,0,0
2017-05-15,22:00:00,2399.84,2403.07,2399.61,2402.32,0,0
2017-05-16,16:00:00,2404.77,2405.52,2402.68,2403.83,0,0
2017-05-16,17:00:00,2403.9,2404.12,2396.05,2397.82,0,0
2017-05-16,18:00:00,2397.92,2402.09,2396.79,2401.16,0,0
2017-05-16,19:00:00,2401.25,2402.61,2400.34,2401.11,0,0
2017-05-16,20:00:00,2400.92,2401.02,2399.05,2399.3,0,0
2017-05-16,21:00:00,2399.27,2399.81,2397.83,2398.36,0,0
2017-05-16,22:00:00,2398.43,2401.21,2398.34,2400.67,0,0
2017-05-17,16:00:00,2380.72,2384.83,2375.78,2376.24,0,0
2017-05-17,17:00:00,2376.09,2378.09,2368.39,2368.99,0,0
2017-05-17,18:00:00,2369.1,2375.88,2367.83,2375.83,0,0
2017-05-17,19:00:00,2375.75,2375.75,2371.15,2375.21,0,0
2017-05-17,20:00:00,2375.1,2375.15,2367.44,2368.63,0,0
2017-05-17,21:00:00,2368.35,2370.62,2359.56,2363.94,0,0
2017-05-17,22:00:00,2363.79,2367.62,2356.28,2357.03,0,0
2017-05-18,16:00:00,2354.93,2359.69,2352.72,2355.55,0,0
2017-05-18,17:00:00,2355.43,2368.54,2355.43,2365.07,0,0
2017-05-18,18:00:00,2364.9,2367.09,2360.22,2360.29,0,0
2017-05-18,19:00:00,2360.49,2364.82,2358.46,2362.1,0,0
2017-05-18,20:00:00,2362.23,2367.31,2359.68,2366.23,0,0
2017-05-18,21:00:00,2365.78,2375.69,2365.78,2370.25,0,0
2017-05-18,22:00:00,2370.45,2372.07,2365.32,2365.72,0,0
2017-05-19,16:00:00,2371.37,2380.08,2370.55,2378.41,0,0
2017-05-19,17:00:00,2378.62,2383.28,2378.43,2382.96,0,0
2017-05-19,18:00:00,2382.94,2384.39,2381.55,2384.23,0,0
2017-05-19,19:00:00,2384.28,2388.06,2384.28,2387.35,0,0
2017-05-19,20:00:00,2387.21,2387.24,2385.08,2386.23,0,0
2017-05-19,21:00:00,2386.17,2389.02,2385.38,2387.11,0,0
2017-05-19,22:00:00,2387.18,2387.4,2379.6,2381.73,0,0
2017-05-22,16:00:00,2387.25,2392.22,2387.25,2391.33,0,0
2017-05-22,17:00:00,2391.24,2392.27,2386.93,2388.18,0,0
2017-05-22,18:00:00,2388.07,2391.28,2387.54,2391.28,0,0
2017-05-22,19:00:00,2391.24,2394.53,2390.98,2392.41,0,0
2017-05-22,20:00:00,2392.42,2393.79,2391.91,2392.07,0,0
2017-05-22,21:00:00,2392.04,2393.76,2391.36,2392.88,0,0
2017-05-22,22:00:00,2392.85,2395.46,2392.56,2394.02,0,0
2017-05-23,16:00:00,2397.29,2398.43,2394.31,2395,0,0
2017-05-23,17:00:00,2395,2397.77,2393.94,2397.24,0,0
2017-05-23,18:00:00,2397.36,2399.94,2396.99,2399.62,0,0
2017-05-23,19:00:00,2399.55,2400.83,2396.76,2397.02,0,0
2017-05-23,20:00:00,2397.03,2399.49,2397.01,2398.44,0,0
2017-05-23,21:00:00,2398.47,2400.3,2397.2,2399.55,0,0
2017-05-23,22:00:00,2399.54,2400.43,2397.06,2398.42,0,0
2017-05-24,16:00:00,2401.44,2401.67,2399.29,2400.02,0,0
2017-05-24,17:00:00,2400.36,2401.51,2398.77,2400.33,0,0
2017-05-24,18:00:00,2400.31,2401.26,2398.7,2399.91,0,0
2017-05-24,19:00:00,2399.87,2400.96,2399.31,2400.06,0,0
2017-05-24,20:00:00,2400.08,2400.39,2398.95,2399.87,0,0
2017-05-24,21:00:00,2399.88,2403.36,2398,2401.75,0,0
2017-05-24,22:00:00,2401.78,2405.55,2400.08,2404.39,0,0
2017-05-25,16:00:00,2409.95,2412.99,2408.06,2412.14,0,0
2017-05-25,17:00:00,2412.17,2415.88,2411.58,2414.84,0,0
2017-05-25,18:00:00,2414.81,2417.56,2412.34,2412.59,0,0
2017-05-25,19:00:00,2412.63,2416.73,2411.83,2416.73,0,0
